url,7/19/2021,7/20/2021,2021-07-21,2021-07-22,2021-07-23
https://www.opentable.com/r/brick-lane-curry-house-new-york,1.0,5.0,4.0,2.0,3.0
https://www.opentable.com/ruths-chris-steak-house-new-york,67.0,80.0,57.0,46.0,64.0
https://www.opentable.com/carmines-91st-street-nyc,133.0,148.0,157.0,,
https://www.opentable.com/r/oda-house-upper-east-side-new-york-2,6.0,9.0,13.0,11.0,7.0
https://www.opentable.com/r/queensyard-new-york,23.0,35.0,,,28.0
https://www.opentable.com/r/spanish-diner-at-mercado-little-spain-new-york,42.0,84.0,67.0,55.0,40.0
https://www.opentable.com/r/lamias-fish-market-new-york,68.0,62.0,83.0,99.0,97.0
https://www.opentable.com/r/lamias-fish-market-new-york,68.0,62.0,83.0,95.0,97.0
https://www.opentable.com/r/la-pizza-and-la-pasta-eataly-nyc-downtown-new-york,54.0,54.0,45.0,,
https://www.opentable.com/r/marcellino-new-york,2.0,2.0,0.0,1.0,2.0
https://www.opentable.com/r/marcellino-new-york,2.0,2.0,0.0,1.0,2.0
https://www.opentable.com/r/bombay-bistro-new-york,7.0,4.0,9.0,10.0,9.0
https://www.opentable.com/r/bombay-bistro-new-york,7.0,4.0,9.0,10.0,9.0
https://www.opentable.com/r/da-capo-new-york,0.0,3.0,4.0,5.0,4.0
https://www.opentable.com/r/butcher-and-banker-new-york,8.0,8.0,23.0,15.0,21.0
https://www.opentable.com/r/butcher-and-banker-new-york,8.0,8.0,23.0,15.0,21.0
https://www.opentable.com/r/yara-new-york,13.0,17.0,19.0,17.0,12.0
https://www.opentable.com/r/the-warren-new-york,23.0,25.0,27.0,15.0,23.0
https://www.opentable.com/r/the-warren-new-york,23.0,25.0,27.0,15.0,26.0
https://www.opentable.com/r/le-moulin-a-cafe-new-york,0.0,0.0,2.0,2.0,3.0
https://www.opentable.com/r/st-tropez-soho-new-york-2,9.0,8.0,12.0,,21.0
https://www.opentable.com/r/st-tropez-soho-new-york-2,9.0,8.0,12.0,,21.0
https://www.opentable.com/r/wagamama-murray-hill-new-york,9.0,17.0,26.0,14.0,13.0
https://www.opentable.com/r/il-divo-new-york,2.0,8.0,9.0,6.0,10.0
https://www.opentable.com/r/turkuaz-restaurant-new-york-2,7.0,6.0,10.0,5.0,6.0
https://www.opentable.com/r/nittis-new-york,6.0,11.0,4.0,6.0,7.0
https://www.opentable.com/r/nittis-new-york,6.0,11.0,4.0,6.0,7.0
https://www.opentable.com/r/nittis-new-york,6.0,11.0,4.0,6.0,7.0
https://www.opentable.com/r/nittis-new-york,6.0,11.0,4.0,6.0,7.0
https://www.opentable.com/r/quartino-bottega-organica-new-york,2.0,1.0,8.0,8.0,5.0
https://www.opentable.com/r/quartino-bottega-organica-new-york,2.0,1.0,8.0,8.0,5.0
https://www.opentable.com/r/seamores-brookfield-place-new-york,54.0,64.0,45.0,,
https://www.opentable.com/r/aroma-trattoria-new-york,2.0,1.0,0.0,1.0,
https://www.opentable.com/r/aroma-trattoria-new-york,2.0,1.0,0.0,1.0,
https://www.opentable.com/r/valerie-new-york,47.0,54.0,,32.0,
https://www.opentable.com/r/il-mulino-prime-gramercy-new-york,16.0,18.0,15.0,12.0,12.0
https://www.opentable.com/r/izakaya-juraku-new-york,10.0,13.0,23.0,25.0,18.0
https://www.opentable.com/r/hortus-nyc-new-york,22.0,26.0,25.0,21.0,26.0
https://www.opentable.com/r/elea-new-york,40.0,44.0,31.0,,
https://www.opentable.com/r/osteria-106-new-york-2,9.0,11.0,19.0,,
https://www.opentable.com/r/the-wilson-new-york,0.0,0.0,4.0,4.0,5.0
https://www.opentable.com/r/kahlo-nyc-new-york,12.0,12.0,29.0,31.0,25.0
https://www.opentable.com/r/the-beach-at-dream-downtown-new-york,11.0,11.0,,,
https://www.opentable.com/r/brooklyn-chop-house-new-york,139.0,153.0,131.0,,
https://www.opentable.com/r/zia-maria-little-italy-new-york,2.0,5.0,4.0,3.0,6.0
https://www.opentable.com/r/bluebird-london-restaurant-new-york,31.0,36.0,31.0,27.0,
https://www.opentable.com/r/castell-rooftop-lounge-new-york,87.0,93.0,62.0,,
https://www.opentable.com/r/buenavista-restaurant-and-bar-new-york,5.0,7.0,1.0,5.0,2.0
https://www.opentable.com/r/the-terrace-at-the-edition-and-outdoor-gardens-new-york,31.0,48.0,49.0,46.0,45.0
https://www.opentable.com/r/sushi-ryusei-new-york,12.0,7.0,16.0,12.0,15.0
https://www.opentable.com/r/sall-restaurant-and-lounge-new-york,3.0,4.0,1.0,2.0,2.0
https://www.opentable.com/r/sall-restaurant-and-lounge-new-york,3.0,5.0,1.0,2.0,2.0
https://www.opentable.com/r/oak-tuscan-truffle-lounge-new-york,2.0,3.0,3.0,4.0,
https://www.opentable.com/r/cardoncello-divino-new-york,0.0,3.0,7.0,16.0,14.0
https://www.opentable.com/r/bp-grille-new-york,0.0,0.0,0.0,,
https://www.opentable.com/r/angeletto-restaurant-new-york,5.0,7.0,8.0,10.0,3.0
https://www.opentable.com/r/haswell-greens-new-york,15.0,7.0,15.0,16.0,21.0
https://www.opentable.com/r/saar-indian-bistro-new-york,4.0,13.0,12.0,13.0,7.0
https://www.opentable.com/r/bua-thai-ramen-and-robata-grill-new-york,13.0,26.0,11.0,,
https://www.opentable.com/r/scampi-new-york,3.0,4.0,6.0,4.0,7.0
https://www.opentable.com/r/the-leroy-house-new-york,67.0,87.0,73.0,60.0,72.0
https://www.opentable.com/r/the-harrow-new-york,1.0,5.0,10.0,9.0,11.0
https://www.opentable.com/r/the-harrow-new-york,2.0,5.0,10.0,9.0,11.0
https://www.opentable.com/r/javelina-ues-new-york,11.0,12.0,7.0,8.0,15.0
https://www.opentable.com/r/javelina-ues-new-york,12.0,12.0,7.0,8.0,15.0
https://www.opentable.com/r/gu-japanese-fusion-sushi-and-bar-new-york,7.0,6.0,8.0,12.0,19.0
https://www.opentable.com/r/gu-japanese-fusion-sushi-and-bar-new-york,7.0,6.0,8.0,12.0,19.0
https://www.opentable.com/r/sabai-thai-new-york,5.0,4.0,9.0,11.0,15.0
https://www.opentable.com/r/sabai-thai-new-york,8.0,4.0,9.0,11.0,15.0
https://www.opentable.com/r/wagamama-nomad-new-york,15.0,17.0,20.0,19.0,21.0
https://www.opentable.com/r/wagamama-nomad-new-york,13.0,17.0,20.0,19.0,21.0
https://www.opentable.com/r/pj-clarkes-third-avenue-new-york,22.0,34.0,54.0,34.0,32.0
https://www.opentable.com/r/pj-clarkes-third-avenue-new-york,29.0,34.0,54.0,34.0,32.0
https://www.opentable.com/r/fashion-bar-and-restaurant-new-york-1,1.0,1.0,1.0,2.0,2.0
https://www.opentable.com/r/fashion-bar-and-restaurant-new-york-1,1.0,2.0,1.0,2.0,2.0
https://www.opentable.com/r/fashion-bar-and-restaurant-new-york-1,0.0,1.0,1.0,2.0,2.0
https://www.opentable.com/r/fashion-bar-and-restaurant-new-york-1,0.0,2.0,1.0,2.0,2.0
https://www.opentable.com/r/angelos-pizza-new-york,8.0,13.0,8.0,5.0,5.0
https://www.opentable.com/r/angelos-pizza-new-york,8.0,13.0,8.0,5.0,5.0
https://www.opentable.com/r/la-goulue-new-york-2,56.0,49.0,49.0,48.0,44.0
https://www.opentable.com/r/la-goulue-new-york-2,44.0,49.0,49.0,48.0,44.0
https://www.opentable.com/r/st-tropez-wine-bar-new-york,25.0,12.0,21.0,,19.0
https://www.opentable.com/r/st-tropez-wine-bar-new-york,25.0,16.0,21.0,,19.0
https://www.opentable.com/r/st-tropez-wine-bar-new-york,12.0,12.0,21.0,,19.0
https://www.opentable.com/r/st-tropez-wine-bar-new-york,12.0,16.0,21.0,,19.0
https://www.opentable.com/r/boucherie-union-square-new-york,102.0,104.0,78.0,94.0,125.0
https://www.opentable.com/r/boucherie-union-square-new-york,79.0,104.0,78.0,94.0,125.0
https://www.opentable.com/r/imli-urban-indian-food-new-york,3.0,0.0,3.0,1.0,
https://www.opentable.com/r/imli-urban-indian-food-new-york,3.0,0.0,3.0,1.0,
https://www.opentable.com/r/imli-urban-indian-food-new-york,1.0,0.0,3.0,1.0,
https://www.opentable.com/r/imli-urban-indian-food-new-york,1.0,0.0,3.0,1.0,
https://www.opentable.com/r/the-meatball-shop-hells-kitchen-new-york,19.0,30.0,17.0,25.0,29.0
https://www.opentable.com/r/the-meatball-shop-hells-kitchen-new-york,19.0,31.0,17.0,25.0,29.0
https://www.opentable.com/r/the-meatball-shop-hells-kitchen-new-york,19.0,30.0,17.0,25.0,29.0
https://www.opentable.com/r/the-meatball-shop-hells-kitchen-new-york,19.0,31.0,17.0,25.0,29.0
https://www.opentable.com/r/la-sirene-uws-new-york,60.0,60.0,37.0,45.0,39.0
https://www.opentable.com/r/la-sirene-uws-new-york,44.0,60.0,37.0,45.0,39.0
https://www.opentable.com/r/tuscany-steak-house-new-york,12.0,14.0,11.0,8.0,7.0
https://www.opentable.com/r/tuscany-steak-house-new-york,12.0,14.0,11.0,7.0,7.0
https://www.opentable.com/r/tuscany-steak-house-new-york,3.0,14.0,11.0,8.0,7.0
https://www.opentable.com/r/tuscany-steak-house-new-york,3.0,14.0,11.0,7.0,7.0
https://www.opentable.com/r/shaking-crab-upper-west-side-new-york,9.0,6.0,9.0,,
https://www.opentable.com/r/shaking-crab-upper-west-side-new-york,16.0,6.0,9.0,,
https://www.opentable.com/r/siena-cafe-new-york,9.0,8.0,12.0,,
https://www.opentable.com/r/siena-cafe-new-york,17.0,8.0,12.0,,
https://www.opentable.com/r/baar-baar-new-york,39.0,86.0,52.0,47.0,62.0
https://www.opentable.com/r/baar-baar-new-york,41.0,86.0,52.0,47.0,62.0
https://www.opentable.com/r/thai72-new-york,8.0,7.0,23.0,12.0,7.0
https://www.opentable.com/r/thai72-new-york,8.0,7.0,23.0,12.0,7.0
https://www.opentable.com/r/serafina-105-new-york,16.0,16.0,15.0,,
https://www.opentable.com/r/serafina-105-new-york,18.0,16.0,15.0,,
https://www.opentable.com/r/renaissance-harlem-new-york,8.0,5.0,5.0,,
https://www.opentable.com/r/renaissance-harlem-new-york,8.0,6.0,5.0,,
https://www.opentable.com/r/renaissance-harlem-new-york,4.0,5.0,5.0,,
https://www.opentable.com/r/renaissance-harlem-new-york,4.0,6.0,5.0,,
https://www.opentable.com/r/seamores-chelsea-new-york,71.0,74.0,43.0,55.0,69.0
https://www.opentable.com/r/seamores-chelsea-new-york,57.0,74.0,43.0,55.0,69.0
https://www.opentable.com/r/celon-bar-and-lounge-new-york,0.0,0.0,3.0,2.0,4.0
https://www.opentable.com/r/celon-bar-and-lounge-new-york,0.0,0.0,3.0,2.0,4.0
https://www.opentable.com/r/celon-bar-and-lounge-new-york,0.0,0.0,3.0,2.0,4.0
https://www.opentable.com/r/celon-bar-and-lounge-new-york,0.0,0.0,3.0,2.0,4.0
https://www.opentable.com/r/wokuni-new-york,50.0,50.0,48.0,49.0,44.0
https://www.opentable.com/r/wokuni-new-york,30.0,50.0,48.0,49.0,44.0
https://www.opentable.com/r/il-carino-restaurant-new-york,1.0,,5.0,,
https://www.opentable.com/r/island-new-york,28.0,,23.0,,
https://www.opentable.com/r/serafina-tribeca-new-york,66.0,,65.0,79.0,72.0
https://www.opentable.com/r/langolo-new-york,12.0,,18.0,17.0,20.0
https://www.opentable.com/r/yama-ramen-and-sushi-new-york,6.0,,22.0,14.0,12.0
https://www.opentable.com/r/aroqa-new-york-4,15.0,,11.0,21.0,20.0
https://www.opentable.com/r/westville-wall-street-new-york,17.0,,14.0,,
https://www.opentable.com/r/serafina-osteria-new-york,0.0,,5.0,11.0,9.0
https://www.opentable.com/r/the-keg-room-new-york,0.0,,3.0,1.0,2.0
