url,earliest
https://www.opentable.com/jones-wood-foundry,6/20/2014
https://www.opentable.com/r/quality-italian-new-york,8/3/2013
https://www.opentable.com/r/awadh-new-york,6/13/2014
https://www.opentable.com/r/il-gattopardo-new-york,1/1/2013
https://www.opentable.com/r/fonda-chelsea-new-york,5/21/2014
https://www.opentable.com/altesi-ristorante,5/18/2014
https://www.opentable.com/racines-ny,5/15/2014
https://www.opentable.com/toledo-restaurant,5/10/2014
https://www.opentable.com/r/buenos-aires-new-york,1/26/2014
https://www.opentable.com/tavern-on-the-green,4/29/2015
https://www.opentable.com/mama-mia-44sw,4/26/2014
https://www.opentable.com/r/barbalu-new-york,4/4/2014
https://www.opentable.com/r/amarone-new-york,3/14/2014
https://www.opentable.com/r/frida-midtown,7/3/2021
https://www.opentable.com/amaranth,3/13/2014
https://www.opentable.com/r/brunetti-pizza-west-village-new-york,3/5/2014
https://www.opentable.com/mamasita-bar-and-grill,1/19/2014
https://www.opentable.com/r/empire-steakhouse-237-west-54-street-off-of-broadway-new-york,12/21/2013
https://www.opentable.com/r/reserve-cut-new-york,12/9/2013
https://www.opentable.com/pippali,12/7/2013
https://www.opentable.com/cibo-e-vino,12/4/2013
https://www.opentable.com/r/fogo-de-chao-brazilian-steakhouse-new-york,12/19/2013
https://www.opentable.com/antica-ancora,1/17/2014
https://www.opentable.com/r/death-ave-restaurant-and-brewing-co-new-york,11/25/2014
https://www.opentable.com/r/gabriels-bar-and-restaurant-new-york,10/29/2013
https://www.opentable.com/westville-hudson,11/1/2013
https://www.opentable.com/barawine,10/26/2013
https://www.opentable.com/the-odeon,2/14/2006
https://www.opentable.com/the-clam,1/31/2014
https://www.opentable.com/cafe-cluny,6/4/2007
https://www.opentable.com/r/the-east-pole-kitchen-and-bar-new-york,8/27/2013
https://www.opentable.com/r/pomodoro-rosso-new-york,8/14/2013
https://www.opentable.com/r/khe-yo-new-york-3,8/1/2013
https://www.opentable.com/la-brochette-kosher-steakhouse,8/15/2013
https://www.opentable.com/bills-bar-and-burger-downtown,7/22/2013
https://www.opentable.com/r/mortons-the-steakhouse-world-trade-center-new-york,7/11/2013
https://www.opentable.com/amber-west-village,7/6/2013
https://www.opentable.com/sel-et-poivre-restaurant,6/30/2013
https://www.opentable.com/jean-claude-2,6/28/2013
https://www.opentable.com/anassa-taverna,5/31/2013
https://www.opentable.com/lafayette,4/30/2013
https://www.opentable.com/the-boil,12/23/2016
https://www.opentable.com/pergola,1/10/2014
https://www.opentable.com/delizia-92,9/16/2013
https://www.opentable.com/la-bergamote-hells-kitchen,4/12/2013
https://www.opentable.com/la-bergamote,4/13/2013
https://www.opentable.com/pasta-lovers-trattoria,5/18/2013
https://www.opentable.com/r/society-cafe-new-york,12/2/2016
https://www.opentable.com/the-liberty-nyc,3/7/2013
https://www.opentable.com/r/serafina-always-grill-new-york,3/31/2013
https://www.opentable.com/gallaghers-steakhouse-manhattan,2/16/2013
https://www.opentable.com/the-crosby-bar,2/14/2013
https://www.opentable.com/r/joanne-trattoria-new-york,1/26/2013
https://www.opentable.com/bxl-zoute,1/11/2013
https://www.opentable.com/the-dutch,1/6/2013
https://www.opentable.com/r/the-leopard-at-des-artistes-new-york,1/5/2013
https://www.opentable.com/r/malai-marke-new-york,1/27/2013
https://www.opentable.com/r/bocca-di-bacco-chelsea-20th-st-new-york,12/19/2012
https://www.opentable.com/sea-fire-grill,11/22/2012
https://www.opentable.com/wa-jeal,12/21/2012
https://www.opentable.com/r/hancock-st-new-york,6/12/2021
https://www.opentable.com/r/dulce-vida-latin-bistro-new-york,11/2/2017
https://www.opentable.com/la-bella-vita-new-york,12/12/2012
https://www.opentable.com/r/breslin-burger-new-york,7/2/2014
https://www.opentable.com/giardino-doro,9/28/2012
https://www.opentable.com/r/socarrat-paella-bar-midtown-east-new-york,9/28/2012
https://www.opentable.com/spice-symphony,10/6/2012
https://www.opentable.com/r/tia-pol-new-york,9/9/2012
https://www.opentable.com/r/la-pizza-and-la-pasta-eataly-nyc-flatiron-new-york,12/24/2014
https://www.opentable.com/galli-restaurant-soho,9/1/2012
https://www.opentable.com/caffe-buon-gusto-ues,8/29/2012
https://www.opentable.com/serafina-upper-west,3/18/2012
https://www.opentable.com/angelo-bellini-italian-restaurant,7/19/2012
https://www.opentable.com/macs-afghan-kebab-incorporated,10/15/2012
https://www.opentable.com/benihana-new-york,6/11/2012
https://www.opentable.com/orient-express-cocktail-bar,10/6/2012
https://www.opentable.com/r/jubilee-1st-avenue-new-york,6/2/2012
https://www.opentable.com/r/haven-rooftop-new-york,6/10/2012
https://www.opentable.com/r/stk-rooftop-new-york,5/12/2012
https://www.opentable.com/bottega-new-york,4/20/2012
https://www.opentable.com/inti-nyc-restaurant,6/2/2012
https://www.opentable.com/nello,4/21/2012
https://www.opentable.com/r/antique-garage-soho-new-york,8/29/2015
https://www.opentable.com/aoa-bar-and-grill,4/27/2012
https://www.opentable.com/atrio-wine-bar-restaurant,5/13/2012
https://www.opentable.com/senya,6/23/2015
https://www.opentable.com/sofrito-nyc,3/19/2012
