name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening,newly_added,precautions,any_precautions,earliest,days,reviews_per_day
Skinny's Cantina on the Hudson,https://www.opentable.com/r/skinnys-cantina-on-the-hudson-new-york,1,False,1,0,,,,,,,,Harlem,"Mexican, Cocktail Bar, Latin / Spanish",Casual Dining,Business Casual,Jefferson MuÃ±oz,"Bar/Lounge, Beer, Cocktails, Corkage Fee, Counter Seating, Dancing, Entertainment, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, View, Weekend Brunch, Wheelchair Access, Wine",Mexican,1,0,1,1,True,3,True,7/10/2021,15.0,0.0
Death By Pizza,https://www.opentable.com/r/death-by-pizza-new-york,1,False,1,29,4.5,4.4,4.2,4.3,4.3,Moderate,100.0,Chelsea,"Pizzeria, Italian",Casual Dining,Casual Dress,,"Beer, Cocktails, Delivery, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Pizzeria,1,1,1,1,False,4,True,1/5/2021,201.0,0.14427860696517414
Osteria Nando,https://www.opentable.com/r/osteria-nando-new-york,1,False,2,44,4.5,4.4,4.4,4.4,4.2,Moderate,95.0,Upper East Side,Mediterranean,Casual Elegant,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wine",Mediterranean,0,0,0,0,False,0,False,1/20/2021,186.0,0.23655913978494625
La Grande Boucherie,https://www.opentable.com/r/la-grande-boucherie-new-york,1,False,3,779,4.5,4.4,4.4,4.7,4.0,Moderate,87.0,Rockefeller Center Midtown,"French, Steakhouse",Casual Dining,Smart Casual,Bill Brasile,"Cocktails, Delivery, Full Bar, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",French,1,0,0,0,False,1,True,12/2/2020,235.0,3.3148936170212764
Çka Ka Qellue,https://www.opentable.com/r/cka-ka-qellue-bronx,1,False,1,15,4.7,4.7,4.7,4.6,4.5,Quiet,100.0,Murray Hill,"Eastern European, Mediterranean",Casual Dining,Casual Dress,,"Outdoor dining, Patio/Outdoor Dining",Eastern European,0,0,0,0,False,0,False,12/5/2020,232.0,0.06465517241379311
Mazu Szechuan Cuisine,https://www.opentable.com/r/mazu-szchuan-cuisine-new-york,1,False,1,10,4.8,4.7,4.8,4.5,4.8,Moderate,100.0,Kips Bay,Chinese (Sichuan),Casual Dining,Casual Dress,,"Beer, Cocktails, Corkage Fee, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Non-Smoking, Outdoor dining, Takeout, Weekend Brunch, Wheelchair Access, Wine",Chinese (Sichuan),1,1,1,1,False,4,True,2/26/2021,149.0,0.06711409395973154
PRIME CATCH,https://www.opentable.com/r/prime-catch-new-york,1,False,2,11,4.4,4.5,4.6,4.3,3.9,Quiet,100.0,Midtown West,"Steakhouse, Seafood, Contemporary American",Casual Dining,Smart Casual,,"Bar/Lounge, Beer, Cocktails, Delivery, Entertainment, Fireplace, Full Bar, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, Takeout, Wheelchair Access, Wine",Steakhouse,1,1,1,0,False,3,True,1/18/2021,188.0,0.05851063829787234
Mista Oh,https://www.opentable.com/r/mista-oh-new-york,1,False,2,13,4.4,4.5,4.3,4.2,4.3,Moderate,100.0,NoMad,"Korean, Asian, Contemporary Korean",Casual Dining,Business Casual,Mista Oh,"Bar/Lounge, Beer, Beer Garden, Cocktails, Counter Seating, Delivery, Full Bar, Gender Neutral Restroom, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, Wheelchair Access, Wine",Korean,1,1,1,1,False,4,True,12/31/2020,206.0,0.06310679611650485
Fats Duvall’s Rhum Cafe,https://www.opentable.com/r/fats-duvalls-rhum-cafe-new-york,1,False,2,2,5.0,4.9,5.0,4.9,4.9,Moderate,,SoHo,"Cocktail Bar, Caribbean, Latin / Spanish",Casual Dining,Smart Casual,Monique Cadavona,"Bar/Lounge, Beer, Cafe, Cocktails, Full Bar, Gender Neutral Restroom, Happy Hour, Private Room, Takeout, Wheelchair Access, Wine",Cocktail Bar,1,1,1,1,False,4,True,6/26/2021,29.0,0.06896551724137931
J-Spec,https://www.opentable.com/r/j-spec-new-york,1,False,3,21,4.7,4.7,4.7,4.7,4.4,Quiet,100.0,East Village,Japanese,Casual Dining,Casual Dress,,"Delivery, Gender Neutral Restroom, Non-Smoking, Outdoor dining, Takeout",Japanese,1,1,1,1,False,4,True,11/24/2020,243.0,0.08641975308641975
