name,url,is_member,promoted,price_tier,review_count,overall,food,service,ambience,value,noise,pct_recommended,neighborhood,cuisines,dining_style,dress_code,chef,tags,primary_cuisine,sanitizing,distancing,ppe,screening
St Ann's Cafe restaurant,https://www.opentable.com/r/st-anns-cafe-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,No Reviews,,,,,,,,Bronx,"Latin / Spanish, Café",Casual Dining,Casual Dress,,,Latin / Spanish,,,,
Fontenova Spanish & Mexican Tapas restaurant,https://www.opentable.com/r/fontenova-spanish-and-mexican-tapas-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,3 Reviews,3.4,3.4,3.4,3.8,4.0,Quiet,67,Bronx,"Tapas / Small Plates, Spanish, Mexican",Casual Dining,Casual Dress,,Takeout,Tapas / Small Plates,,,,
Yukka Latin Bistro restaurant,https://www.opentable.com/r/yukka-latin-bistro-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,15 Reviews,4.5,4.4,4.3,4.4,4.3,Moderate,88,Bronx,Latin / Spanish,Casual Dining,Casual Dress,Ricardo Cardona ,"Bar/Lounge, Beer, Cocktails, Delivery, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Takeout, View, Wheelchair Access, Wine",Latin / Spanish,,,,
Casa Del Mar - Bronx restaurant,https://www.opentable.com/r/casa-del-mar-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,36 Reviews,3.8,3.8,3.9,4.1,3.7,Moderate,74,Bronx,"Seafood, Latin / Spanish",Casual Dining,Business Casual,,"Beer, Cocktails, Dancing, Delivery, Entertainment, Full Bar, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Takeout, Wheelchair Access, Wine",Seafood,1,1,1,1
iNINE Bistro restaurant,https://www.opentable.com/r/inine-bistro-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,9 Reviews,4.2,4.2,4.2,4.1,4.6,Quiet,100,Bronx,"Bistro, American, Breakfast",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cafe, Delivery, Entertainment, Happy Hour, Non-Smoking, Takeout, Weekend Brunch, Wheelchair Access, Wine",Bistro,,,,
Mott Haven Bar & Grill restaurant,https://www.opentable.com/r/mott-haven-bar-and-grill-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,75 Reviews,4.3,4.4,4.3,4.4,4.4,Moderate,100,Bronx,"American, Bistro",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Delivery, Full Bar, Gender Neutral Restroom, Non-Smoking, Outdoor dining, Private Room, Takeout, Wheelchair Access, Wine",American,1,1,1,1
CASA RESTAURANT & LOUNGE restaurant,https://www.opentable.com/r/casa-restaurant-and-lounge-inc-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$31 to $50,22 Reviews,3.9,4.0,4.0,4.1,3.8,Moderate,75,Bronx,"Fusion / Eclectic, Latin / Spanish, Asian",Casual Dining,Resort Casual,,"Bar/Lounge, Beer, Cocktails, Counter Seating, Dancing, Entertainment, Full Bar, Happy Hour, Late Night, Outdoor Smoking Area, Private Room, Takeout, Weekend Brunch, Wheelchair Access, Wine",Fusion / Eclectic,,,,
San Gennaro restaurant,https://www.opentable.com/r/san-gennaro-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,91 Reviews,4.2,4.4,4.5,4.3,4.4,Moderate,89,Bronx,Italian,Casual Dining,Business Casual,,"Delivery, Takeout",Italian,1,1,1,1
Patsy's Pizzeria restaurant,https://www.opentable.com/r/patsys-pizzeria-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$31 to $50,3 Reviews,4.5,4.6,4.5,4.5,4.8,Moderate,100,Bronx,"Italian, Pizzeria",Casual Dining,Formal Attire,,,Italian,,,,
Red Lobster - Bronx restaurant,https://www.opentable.com/r/red-lobster-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,2 Reviews,3.0,3.2,3.0,2.7,2.7,Moderate,100,City Island,"Seafood, American, Shellfish",Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Gluten-free Menu, Non-Smoking, Takeout, Wheelchair Access, Wine",Seafood,,,,
Escape Latino restaurant,https://www.opentable.com/r/di-como-restaurant-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,7 Reviews,3.9,4.0,3.9,4.0,3.9,Moderate,67,Bronx,Latin / Spanish,Casual Dining,Casual Dress,,,Latin / Spanish,,,,
Hudson Garden Grill at the New York Botanical Garden restaurant,https://www.opentable.com/hudson-garden-grill-at-the-new-york-botanical-garden?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,1982 Reviews,4.5,4.5,4.4,4.6,4.1,Moderate,96,Bronx,"Contemporary American, American",Casual Elegant,Smart Casual,,"Banquet, Beer, Cocktails, Full Bar, Gluten-free Menu, Non-Smoking, Outdoor dining, Patio/Outdoor Dining, Private Room, View, Wheelchair Access, Wine",Contemporary American,,,,
Hard Rock Cafe - Yankee Stadium restaurant,https://www.opentable.com/hard-rock-cafe-yankee-stadium?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,262 Reviews,4.2,4.1,4.2,4.1,3.8,Moderate,89,Bronx,American,Casual Dining,Casual Dress,,"Banquet, Bar/Lounge, Beer, Cafe, Cocktails, Entertainment, Full Bar, Gluten-free Menu, Happy Hour, Late Night, Non-Smoking, Outdoor dining, Outdoor Smoking Area, Patio/Outdoor Dining, Private Room, View, Weekend Brunch, Wheelchair Access, Wine",American,1,1,1,1
Jake's Steakhouse restaurant,https://www.opentable.com/r/jakes-steakhouse-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$31 to $50,1363 Reviews,4.8,4.8,4.8,4.7,4.5,Moderate,98,Bronx,"Contemporary American, Steakhouse, Seafood",Casual Dining,Smart Casual,,"Banquet, Bar/Lounge, Beer, Cocktails, Corkage Fee, Entertainment, Full Bar, Gender Neutral Restroom, Non-Smoking, Takeout, View, Wheelchair Access, Wine",Contemporary American,1,1,1,1
Rosa's at Park restaurant,https://www.opentable.com/r/rosas-at-park-bronx?corrid=1d352372-24cf-4f63-80be-f274726fa273&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-20T20%3A20%3A00,1,0,$30 and under,1 Reviews,5.0,5.0,5.0,5.0,5.0,would recommend it to a friend,,Bronx,Latin American,Casual Dining,Casual Dress,,"Bar/Lounge, Beer, Cocktails, Full Bar, Non-Smoking, Weekend Brunch, Wheelchair Access, Wine",Latin American,1,0,0,1
