url,2021-07-23
https://www.opentable.com/shalom-japan?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,5
https://www.opentable.com/bijans-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,10
https://www.opentable.com/r/sea-wolf-waterfront-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,39
https://www.opentable.com/r/honey-badger-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,1
https://www.opentable.com/r/that-bar-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,0
https://www.opentable.com/r/savannah-cafe-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,18
https://www.opentable.com/r/baci-abbracci-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,6
https://www.opentable.com/r/patrick-steakhouse-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,1
https://www.opentable.com/r/the-williamsburg-hotel-restaurant-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,19
https://www.opentable.com/r/il-porto-ristorante-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,4
https://www.opentable.com/amarachi?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,6
https://www.opentable.com/r/czen-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,8
https://www.opentable.com/shelter-pizza?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,11
https://www.opentable.com/r/leuca-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,21
https://www.opentable.com/atlas-steakhouse?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,9
https://www.opentable.com/r/the-rusty-face-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,7
https://www.opentable.com/glasserie?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,27
https://www.opentable.com/r/simply-greek-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,1
https://www.opentable.com/r/aura-cocina-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,5
https://www.opentable.com/r/union-pizza-works-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,4
https://www.opentable.com/r/the-meatball-shop-williamsburg-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,10
https://www.opentable.com/r/palomas-bk-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,12
https://www.opentable.com/r/avere-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,3
https://www.opentable.com/r/tambour-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,3
https://www.opentable.com/r/empanada-loca-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,0
https://www.opentable.com/r/pulia-restaurant-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,0
https://www.opentable.com/r/hummus-market-brooklyn?corrid=d4c4a148-3fdb-4c1d-9f41-6376dde20d5f&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=1&sd=2021-07-24T22%3A00%3A00,4
